标题,URL,位置,面积,朝向,房型,楼层,可否看房,租金
整租·吴中公寓 1室1厅 南,/zufang/SH2311565116967501824.html,徐汇-田林-吴中公寓,62㎡,南,1室1厅1卫,中楼层（22层）,近地铁/精装/随时看房,6500元/月
整租·日晖一村 1室1厅 南,/zufang/SH2315999476202356736.html,徐汇-斜土路-日晖一村,41㎡,南,1室1厅1卫,中楼层（5层）,近地铁/随时看房,5200元/月
整租·钦州路111弄 1室1厅 南,/zufang/SH2326788694498869248.html,徐汇-康健-钦州路111弄,62㎡,南,1室1厅1卫,高楼层（30层）,近地铁/随时看房,5600元/月
整租·长海坊 2室1厅 南/北,/zufang/SH2326820227771809792.html,徐汇-康健-长海坊,61㎡,南 北,2室1厅1卫,低楼层（6层）,精装/随时看房,5800元/月
整租·长虹坊 2室1厅 南,/zufang/SH2325406061781598208.html,徐汇-康健-长虹坊,74㎡,南,2室1厅1卫,高楼层（4层）,随时看房,6300元/月
整租·光华园 2室1厅 南,/zufang/SH2330231762984648704.html,徐汇-上海南站-光华园,62㎡,南,2室1厅1卫,低楼层（6层）,精装/随时看房,5600元/月
整租·陈家宅小区(浦东大道) 2室1厅 南,/zufang/SH2331122124342689792.html,浦东-金桥-陈家宅小区(浦东大道),56㎡,南,2室1厅1卫,低楼层（6层）,精装/新上/随时看房,4800元/月
整租·上南六村 1室1厅 南,/zufang/SH2331140154766393344.html,浦东-世博-上南六村,34㎡,南,1室1厅1卫,中楼层（6层）,近地铁/新上/随时看房,4700元/月
整租·南杨小区(长清路) 1室1厅 西南,/zufang/SH2332429812549033984.html,浦东-三林-南杨小区(长清路),39㎡,西南,1室1厅1卫,高楼层（6层）,近地铁/精装/新上/随时看房,4800元/月
整租·银都新村(1至7区) 1室1厅 南/北,/zufang/SH2329673075282411520.html,闵行-颛桥-银都新村(1至7区),40㎡,南 北,1室1厅1卫,低楼层（6层）,精装/新上/随时看房,3550元/月
整租·永泰花苑 2室1厅 南,/zufang/SH2329745416582594560.html,浦东-三林-永泰花苑,72㎡,南,2室1厅1卫,高楼层（11层）,新上/随时看房,5500元/月
整租·天山华庭 2室2厅 南,/zufang/SH2330141108136312832.html,长宁-天山-天山华庭,91㎡,南,2室2厅1卫,低楼层（20层）,近地铁/新上/随时看房,12800元/月
整租·南天大楼 2室1厅 南,/zufang/SH2298571559629234176.html,徐汇-徐家汇-南天大楼,65㎡,南,2室1厅1卫,高楼层（20层）,近地铁/精装/随时看房,8000元/月
整租·凌兆新村 2室1厅 南,/zufang/SH2329634634016759808.html,浦东-三林-凌兆新村,64㎡,南,2室1厅1卫,低楼层（6层）,近地铁/新上/随时看房,5300元/月
整租·剑河家苑 2室1厅 南,/zufang/SH2331690827882954752.html,长宁-北新泾-剑河家苑,77㎡,南,2室1厅1卫,低楼层（15层）,近地铁/新上/随时看房,8300元/月
整租·西三里桥路8弄 1室1厅 南,/zufang/SH2298572281183469568.html,浦东-南码头-西三里桥路8弄,47㎡,南,1室1厅1卫,高楼层（6层）,随时看房,4500元/月
整租·明园小安桥 2室2厅 南,/zufang/SH2310938979354017792.html,徐汇-田林-明园小安桥,87㎡,南,2室2厅1卫,中楼层（17层）,近地铁/精装/随时看房,10000元/月
整租·上南二村 1室1厅 南,/zufang/SH2325122863222497280.html,浦东-世博-上南二村,35㎡,南,1室1厅1卫,高楼层（6层）,近地铁/随时看房,4400元/月
整租·金桂苑(徐汇) 2室2厅 南,/zufang/SH2316745305846464512.html,徐汇-康健-金桂苑(徐汇),88㎡,南,2室2厅1卫,中楼层（24层）,近地铁/随时看房,7300元/月
整租·阳二小区 2室1厅 南,/zufang/SH2326555206739042304.html,浦东-洋泾-阳二小区,50㎡,南,2室1厅1卫,中楼层（5层）,精装/随时看房,4800元/月
整租·金杨六街坊 1室1厅 南,/zufang/SH2310668028020260864.html,浦东-金杨-金杨六街坊,52㎡,南,1室1厅1卫,中楼层（6层）,近地铁/随时看房,5300元/月
整租·天山怡景苑 2室2厅 南,/zufang/SH2325251858815795200.html,长宁-天山-天山怡景苑,88㎡,南,2室2厅1卫,低楼层（15层）,近地铁/精装/随时看房,12000元/月
整租·齐八小区 1室1厅 南,/zufang/SH2322968952290156544.html,浦东-世博-齐八小区,47㎡,南,1室1厅1卫,高楼层（6层）,近地铁/精装/随时看房,4300元/月
整租·凌三小区 1室1厅 南,/zufang/SH2321491888936321024.html,浦东-洋泾-凌三小区,42㎡,南,1室1厅1卫,高楼层（6层）,随时看房,4000元/月
整租·胶南小区 1室0厅 南,/zufang/SH2322968166965182464.html,浦东-南码头-胶南小区,34㎡,南,1室0厅1卫,高楼层（6层）,精装/随时看房,4100元/月
整租·金杨新村三街坊 1室1厅 南,/zufang/SH2326581519562579968.html,浦东-金杨-金杨新村三街坊,43㎡,南,1室1厅1卫,高楼层（7层）,近地铁/随时看房,4500元/月
整租·新湖云庭 3室1厅 南,/zufang/SH2316606600271904768.html,徐汇-斜土路-新湖云庭,121㎡,南,3室1厅1卫,高楼层（23层）,近地铁/随时看房,11900元/月
整租·香山新村东南街坊 2室1厅 南/北,/zufang/SH2318547842316107776.html,浦东-金杨-香山新村东南街坊,52㎡,南 北,2室1厅1卫,中楼层（6层）,近地铁/随时看房,5200元/月
整租·临沂八村 1室1厅 南,/zufang/SH2325920407133364224.html,浦东-南码头-临沂八村,40㎡,南,1室1厅1卫,中楼层（6层）,近地铁/精装/随时看房,4600元/月
整租·士林华苑 3室2厅 南,/zufang/SH2320955512709193728.html,黄浦-豫园-士林华苑,143㎡,南,3室2厅2卫,中楼层（25层）,近地铁/精装/双卫生间/随时看房,16800元/月
整租·海炼大楼 1室1厅 南,/zufang/SH2328170232168062976.html,浦东-洋泾-海炼大楼,46㎡,南,1室1厅1卫,中楼层（18层）,近地铁/新上/随时看房,4500元/月
整租·金杨七街坊 1室1厅 南,/zufang/SH2320057419327348736.html,浦东-金杨-金杨七街坊,49㎡,南,1室1厅1卫,中楼层（6层）,近地铁/随时看房,4550元/月
整租·海院小区 1室1厅 南,/zufang/SH2326808256078413824.html,浦东-源深-海院小区,42㎡,南,1室1厅1卫,低楼层（6层）,精装/随时看房,4600元/月
整租·花苑村玉兰园 2室2厅 南/北,/zufang/SH2311637375119261696.html,徐汇-康健-花苑村玉兰园,77㎡,南 北,2室2厅1卫,高楼层（6层）,近地铁/精装/随时看房,7400元/月
整租·临沂三村 1室1厅 南,/zufang/SH2313790164327481344.html,浦东-南码头-临沂三村,39㎡,南,1室1厅1卫,高楼层（6层）,近地铁/随时看房,4300元/月
整租·上南十二村 1室0厅 南,/zufang/SH2325877072649519104.html,浦东-世博-上南十二村,37㎡,南,1室0厅1卫,高楼层（6层）,近地铁/随时看房,4500元/月
整租·梅陇三村 1室1厅 南,/zufang/SH2328983608746057728.html,徐汇-华东理工-梅陇三村,40㎡,南,1室1厅1卫,高楼层（6层）,新上/随时看房,3600元/月
整租·中山南一路1040-1044号 1室0厅 南,/zufang/SH2331849459061243904.html,黄浦-世博滨江-中山南一路1040-1044号,30㎡,南,1室0厅1卫,高楼层（6层）,近地铁/精装/新上/随时看房,5000元/月
整租·新凯城尚樱苑 2室1厅 南/北,/zufang/SH2330263592349204480.html,松江-泗泾-新凯城尚樱苑,74㎡,南 北,2室1厅1卫,高楼层（18层）,新上/随时看房,3200元/月
整租·银河新都 1室1厅 南,/zufang/SH2330483692301975552.html,闵行-春申-银河新都,51㎡,南,1室1厅1卫,中楼层（10层）,精装/新上/随时看房,3800元/月
整租·新凯城银杏苑 3室2厅 南,/zufang/SH2331084547388604416.html,松江-泗泾-新凯城银杏苑,89㎡,南,3室2厅1卫,高楼层（18层）,新上/随时看房,3500元/月
整租·逸翠公馆 3室1厅 南,/zufang/SH2330912450095874048.html,浦东-世博-逸翠公馆,111㎡,南,3室1厅1卫,中楼层（24层）,近地铁/精装/新上/随时看房,9500元/月
整租·梅陇九村 1室1厅 南,/zufang/SH2325828415392841728.html,徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）,随时看房,3500元/月
整租·蒲汇新村 2室1厅 南,/zufang/SH2328158759002062848.html,闵行-七宝-蒲汇新村,48㎡,南,2室1厅1卫,高楼层（6层）,近地铁/随时看房,4600元/月
整租·通联苑 2室1厅 南,/zufang/SH2331836623928426496.html,浦东-金杨-通联苑,96㎡,南,2室1厅1卫,低楼层（11层）,近地铁/精装/新上/随时看房,8000元/月
整租·贝尚湾(公寓) 1室1厅 南,/zufang/SH2328863647675727872.html,松江-九亭-贝尚湾(公寓),52㎡,南,1室1厅1卫,低楼层（13层）,精装/新上/随时看房,4600元/月
整租·青春驿站 1室1厅 南,/zufang/SH2329722201823526912.html,松江-九亭-青春驿站,43㎡,南,1室1厅1卫,中楼层（12层）,近地铁/精装/新上/随时看房,4300元/月
整租·象屿上海年华 2室2厅 南,/zufang/SH2326118987831975936.html,松江-莘闵别墅-象屿上海年华,82㎡,南,2室2厅1卫,中楼层（8层）,精装/随时看房,4800元/月
整租·虹桥乐庭 2室2厅 南,/zufang/SH2298568832534986752.html,徐汇-徐家汇-虹桥乐庭,94㎡,南,2室2厅1卫,低楼层（10层）,近地铁/精装/随时看房,12000元/月
整租·水清年华花园 2室1厅 南,/zufang/SH2321113406100209664.html,闵行-七宝-水清年华花园,60㎡,南,2室1厅1卫,中楼层（11层）,近地铁/随时看房,5600元/月
整租·同润菲诗艾伦 1室1厅 南,/zufang/SH2326640336799006720.html,松江-泗泾-同润菲诗艾伦,55㎡,南,1室1厅1卫,高楼层（17层）,随时看房,3200元/月
整租·前滩东方逸品 2室2厅 南,/zufang/SH2326036509679165440.html,浦东-三林-前滩东方逸品,89㎡,南,2室2厅1卫,中楼层（33层）,近地铁/精装/随时看房,9500元/月
整租·罗阳七村(华宝小区) 2室1厅 南,/zufang/SH2311284428355141632.html,闵行-梅陇-罗阳七村(华宝小区),53㎡,南,2室1厅1卫,高楼层（6层）,近地铁/随时看房,4200元/月
整租·汇贤雅居 2室2厅 南/北,/zufang/SH2310886040082325504.html,徐汇-徐家汇-汇贤雅居,95㎡,南 北,2室2厅1卫,中楼层（22层）,近地铁/精装/随时看房,12000元/月
整租·绿梅二村 2室1厅 南,/zufang/SH2323683766121807872.html,闵行-莘庄-绿梅二村,66㎡,南,2室1厅1卫,高楼层（6层）,随时看房,4100元/月
整租·前滩东方逸品 1室1厅 西,/zufang/SH2314514893577404416.html,浦东-三林-前滩东方逸品,59㎡,西,1室1厅1卫,低楼层（33层）,精装/随时看房,7500元/月
整租·新凯城尚樱苑 3室2厅 南,/zufang/SH2326782924923338752.html,松江-泗泾-新凯城尚樱苑,84㎡,南,3室2厅1卫,高楼层（18层）,随时看房,3555元/月
整租·莘松二村 2室1厅 南,/zufang/SH2318121349807349760.html,闵行-莘庄-莘松二村,48㎡,南,2室1厅1卫,高楼层（5层）,精装/随时看房,4300元/月
整租·上中西路767弄 2室1厅 南,/zufang/SH2319592903917445120.html,闵行-梅陇-上中西路767弄,55㎡,南,2室1厅1卫,高楼层（6层）,随时看房,4300元/月
整租·知雅汇(公寓) 2室1厅 南,/zufang/SH2315936675995590656.html,松江-九亭-知雅汇(公寓),70㎡,南,2室1厅1卫,低楼层（14层）,随时看房,4800元/月
整租·梅陇二村 2室1厅 南/北,/zufang/SH2323121706769580032.html,闵行-梅陇-梅陇二村,60㎡,南 北,2室1厅1卫,低楼层（6层）,近地铁/随时看房,4800元/月
整租·凌兆新村(上浦路606弄) 3室1厅 南,/zufang/SH2332381077865775104.html,浦东-三林-凌兆新村(上浦路606弄),78㎡,南,3室1厅1卫,高楼层（6层）,近地铁/精装/新上/随时看房,7000元/月
整租·塘和家园海康苑 3室1厅 南/北,/zufang/SH2321789033422274560.html,松江-泗泾-塘和家园海康苑,83㎡,南 北,3室1厅1卫,高楼层（18层）,精装/随时看房,4000元/月
整租·龙柏二村 2室1厅 南,/zufang/SH2315673051850874880.html,闵行-龙柏-龙柏二村,54㎡,南,2室1厅1卫,高楼层（6层）,精装/随时看房,5800元/月
整租·莘松八村 2室1厅 南,/zufang/SH2321532325852356608.html,闵行-莘庄-莘松八村,62㎡,南,2室1厅1卫,高楼层（6层）,随时看房,4200元/月
整租·巨东小区 3室1厅 南,/zufang/SH2326558859172790272.html,浦东-洋泾-巨东小区,71㎡,南,3室1厅1卫,高楼层（6层）,近地铁/随时看房,7200元/月
整租·名仕世家花苑 2室2厅 南,/zufang/SH2318112140760203264.html,闵行-颛桥-名仕世家花苑,89㎡,南,2室2厅1卫,中楼层（6层）,随时看房,5500元/月
整租·南极苑 3室1厅 南,/zufang/SH2325924168467480576.html,浦东-金桥-南极苑,77㎡,南,3室1厅1卫,低楼层（6层）,随时看房,6500元/月
整租·东晶国际公寓 1室2厅 西南,/zufang/SH2319445848683192320.html,浦东-源深-东晶国际公寓,73㎡,西南,1室2厅1卫,高楼层（28层）,近地铁/精装/随时看房,7900元/月
整租·莘松七村 2室1厅 南,/zufang/SH2321531731351977984.html,闵行-莘庄-莘松七村,68㎡,南,2室1厅1卫,中楼层（6层）,随时看房,4200元/月
整租·前滩东方逸品 2室1厅 南,/zufang/SH2328799055200649216.html,浦东-三林-前滩东方逸品,87㎡,南,2室1厅1卫,低楼层（33层）,精装/新上/随时看房,9500元/月
整租·绿地时代名邸 2室2厅 南,/zufang/SH2330987068676636672.html,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,低楼层（28层）,近地铁/精装/新上/随时看房,2800元/月
整租·永新花苑 2室2厅 南,/zufang/SH2298567973617025024.html,徐汇-徐家汇-永新花苑,110㎡,南,2室2厅2卫,中楼层（34层）,近地铁/精装/双卫生间/随时看房,13888元/月
整租·龙柏三村 2室1厅 南/北,/zufang/SH2321034880399441920.html,闵行-龙柏-龙柏三村,62㎡,南 北,2室1厅1卫,高楼层（6层）,近地铁/精装/随时看房,6500元/月
整租·尚东国际名园（二期） 2室2厅 南/北,/zufang/SH2304342481741029376.html,浦东-三林-尚东国际名园（二期）,99㎡,南 北,2室2厅1卫,低楼层（8层）,近地铁/精装/随时看房,8500元/月
整租·宝仪花苑 1室1厅 南,/zufang/SH2320298323422494720.html,闵行-七宝-宝仪花苑,53㎡,南,1室1厅1卫,高楼层（6层）,随时看房,4700元/月
整租·团结花苑 2室2厅 南,/zufang/SH2315905539051364352.html,闵行-莘庄-团结花苑,81㎡,南,2室2厅1卫,中楼层（7层）,精装/随时看房,5300元/月
整租·上海花城 2室2厅 南,/zufang/SH2324426854788251648.html,长宁-中山公园-上海花城,108㎡,南,2室2厅1卫,中楼层（11层）,随时看房,13500元/月
整租·陆家嘴滨江公馆 1室2厅 南,/zufang/SH2321673661288808448.html,浦东-洋泾-陆家嘴滨江公馆,70㎡,南,1室2厅1卫,高楼层（29层）,精装/随时看房,7500元/月
整租·贵龙园 2室2厅 南,/zufang/SH2325896488602828800.html,浦东-塘桥-贵龙园,115㎡,南,2室2厅2卫,高楼层（18层）,近地铁/精装/双卫生间/随时看房,9700元/月
整租·莘南新村 2室2厅 南,/zufang/SH2323615435666227200.html,闵行-莘庄-莘南新村,94㎡,南,2室2厅1卫,高楼层（6层）,随时看房,5000元/月
整租·黎明花园 1室1厅 南,/zufang/SH2323761888279658496.html,闵行-七宝-黎明花园,53㎡,南,1室1厅1卫,高楼层（6层）,精装/随时看房,4700元/月
整租·莘浜路351弄 2室1厅 南,/zufang/SH2321533244723429376.html,闵行-莘庄-莘浜路351弄,60㎡,南,2室1厅1卫,高楼层（5层）,随时看房,4200元/月
整租·莘松八村 2室1厅 南,/zufang/SH2321534179785326592.html,闵行-莘庄-莘松八村,49㎡,南,2室1厅1卫,低楼层（6层）,随时看房,4700元/月
整租·常兴家园 2室1厅 南,/zufang/SH2327520558671478784.html,闵行-春申-常兴家园,65㎡,南,2室1厅1卫,高楼层（6层）,精装/随时看房,4500元/月
整租·罗阳三村 2室1厅 南,/zufang/SH2314388672524320768.html,闵行-梅陇-罗阳三村,68㎡,南,2室1厅1卫,高楼层（6层）,精装/随时看房,4800元/月
整租·威宁大楼 2室1厅 南,/zufang/SH2331218122566549504.html,长宁-仙霞-威宁大楼,76㎡,南,2室1厅1卫,高楼层（24层）,近地铁/精装/新上/随时看房,7500元/月
整租·长丰坊 2室1厅 南,/zufang/SH2330532474608173056.html,徐汇-康健-长丰坊,56㎡,南,2室1厅1卫,高楼层（6层）,精装/新上/随时看房,6000元/月
整租·万象园 1室1厅 南,/zufang/SH2330526035923443712.html,徐汇-康健-万象园,50㎡,南,1室1厅1卫,中楼层（6层）,近地铁/精装/新上/随时看房,5300元/月
整租·象屿品城 2室2厅 南,/zufang/SH2325819341075128320.html,松江-九亭-象屿品城,82㎡,南,2室2厅1卫,中楼层（11层）,精装/新上/随时看房,4888元/月
整租·康乐小区(徐汇) 2室1厅 南,/zufang/SH2320776106161995776.html,徐汇-康健-康乐小区(徐汇),51㎡,南,2室1厅1卫,低楼层（6层）,近地铁/随时看房,5300元/月
整租·静安新城七区 2室2厅 南,/zufang/SH2328841760404406272.html,闵行-静安新城-静安新城七区,95㎡,南,2室2厅2卫,高楼层（12层）,近地铁/精装/双卫生间/新上/随时看房,9200元/月
整租·寿德坊 1室1厅 南,/zufang/SH2321061575576272896.html,徐汇-康健-寿德坊,48㎡,南,1室1厅1卫,低楼层（6层）,近地铁/随时看房,4600元/月
整租·祥和公寓(松江) 3室2厅 南,/zufang/SH2330161812705640448.html,松江-泗泾-祥和公寓(松江),105㎡,南,3室2厅1卫,中楼层（5层）,近地铁/精装/新上/随时看房,6400元/月
整租·龙柏七村 3室1厅 南/北,/zufang/SH2330241748850720768.html,闵行-龙柏-龙柏七村,76㎡,南 北,3室1厅1卫,中楼层（6层）,近地铁/新上/随时看房,7200元/月
整租·米兰诺贵都 2室1厅 南,/zufang/SH2320981710566858752.html,松江-泗泾-米兰诺贵都,91㎡,南,2室1厅1卫,低楼层（19层）,近地铁/随时看房,4600元/月
整租·青春驿站 2室2厅 南,/zufang/SH2303431107951476736.html,松江-九亭-青春驿站,68㎡,南,2室2厅2卫,高楼层（15层）,近地铁/精装/双卫生间/随时看房,5400元/月
整租·中大九里德(公寓) 3室2厅 南,/zufang/SH2323960571629936640.html,松江-九亭-中大九里德(公寓),110㎡,南,3室2厅2卫,低楼层（14层）,精装/双卫生间/随时看房,5900元/月
整租·旭辉新构想 3室2厅 南,/zufang/SH2328170117277958144.html,浦东-洋泾-旭辉新构想,130㎡,南,3室2厅1卫,中楼层（24层）,近地铁/新上/随时看房,12500元/月
整租·旭辉新构想 3室2厅 南,/zufang/SH2328170065486422016.html,浦东-洋泾-旭辉新构想,133㎡,南,3室2厅2卫,中楼层（24层）,近地铁/双卫生间/新上/随时看房,13500元/月
整租·春申景城MIDTOWN 2室2厅 南,/zufang/SH2320699788922208256.html,闵行-春申-春申景城MIDTOWN,108㎡,南,2室2厅1卫,低楼层（14层）,精装/随时看房,8500元/月
整租·贝尚湾(公寓) 2室2厅 南/北,/zufang/SH2325328537772900352.html,松江-九亭-贝尚湾(公寓),92㎡,南 北,2室2厅1卫,中楼层（17层）,精装/随时看房,6700元/月
整租·金悦公寓 2室2厅 南,/zufang/SH2317845830490931200.html,闵行-龙柏-金悦公寓,89㎡,南,2室2厅1卫,高楼层（6层）,近地铁/精装/随时看房,8100元/月
整租·中房樱桃苑 3室2厅 南/北,/zufang/SH2314512629726986240.html,浦东-三林-中房樱桃苑,128㎡,南 北,3室2厅2卫,高楼层（13层）,近地铁/精装/双卫生间/随时看房,11500元/月
整租·万科假日风景(公寓) 3室2厅 南,/zufang/SH2324583359595937792.html,闵行-莘庄-万科假日风景(公寓),118㎡,南,3室2厅2卫,中楼层（6层）,双卫生间/随时看房,8500元/月
整租·中梅苑 2室2厅 南,/zufang/SH2321470153919315968.html,闵行-梅陇-中梅苑,106㎡,南,2室2厅1卫,中楼层（24层）,随时看房,6800元/月
整租·新城上坤樾山四季 3室2厅 南,/zufang/SH2326043380208893952.html,松江-泗泾-新城上坤樾山四季,103㎡,南,3室2厅2卫,高楼层（8层）,精装/双卫生间/随时看房,5555元/月
整租·知雅汇(公寓) 2室2厅 东南,/zufang/SH2325387352115527680.html,松江-九亭-知雅汇(公寓),91㎡,东南,2室2厅1卫,中楼层（10层）,随时看房,5500元/月
整租·白雪公主 2室2厅 南,/zufang/SH2323782668783206400.html,闵行-七宝-白雪公主,94㎡,南,2室2厅1卫,中楼层（11层）,精装/随时看房,7200元/月
整租·高兴花园 1室1厅 南,/zufang/SH2317443525383561216.html,闵行-春申-高兴花园,37㎡,南,1室1厅1卫,低楼层（6层）,精装/随时看房,3300元/月
整租·南码头路144弄 1室1厅 南,/zufang/SH2325978196044161024.html,浦东-南码头-南码头路144弄,34㎡,南,1室1厅1卫,中楼层（5层）,精装/随时看房,3900元/月
整租·上南四村 1室1厅 南,/zufang/SH2324507293040771072.html,浦东-世博-上南四村,29㎡,南,1室1厅1卫,高楼层（5层）,近地铁/随时看房,4300元/月
整租·上南七村 1室0厅 南/北,/zufang/SH2313689134080212992.html,浦东-世博-上南七村,40㎡,南 北,1室0厅1卫,高楼层（6层）,近地铁/精装/随时看房,4800元/月
整租·万科城市花园 1室1厅 南,/zufang/SH2332708503011205120.html,闵行-七宝-万科城市花园,42㎡,南,1室1厅1卫,高楼层（6层）,近地铁/精装/新上/随时看房,5000元/月
整租·沁春园一村 2室1厅 南,/zufang/SH2331838878744313856.html,闵行-莘庄-沁春园一村,68㎡,南,2室1厅1卫,高楼层（6层）,新上/随时看房,4300元/月
整租·荣盛名邸(公寓) 2室1厅 南,/zufang/SH2332587178355326976.html,松江-莘闵别墅-荣盛名邸(公寓),93㎡,南,2室1厅1卫,低楼层（18层）,新上/随时看房,4499元/月
整租·南郊别墅(公寓) 2室1厅 南/北,/zufang/SH2323077312595369984.html,闵行-颛桥-南郊别墅(公寓),94㎡,南 北,2室1厅1卫,高楼层（4层）,新上/随时看房,5750元/月
整租·南郊别墅(公寓) 2室2厅 南/北,/zufang/SH2332419736203165696.html,闵行-颛桥-南郊别墅(公寓),98㎡,南 北,2室2厅1卫,高楼层（5层）,新上/随时看房,5900元/月
整租·西环三村 2室1厅 南,/zufang/SH2330938534447284224.html,闵行-莘庄-西环三村,76㎡,南,2室1厅1卫,高楼层（6层）,新上/随时看房,4300元/月
整租·金杨新村三街坊 2室1厅 南,/zufang/SH2331038633760661504.html,浦东-金杨-金杨新村三街坊,58㎡,南,2室1厅1卫,低楼层（7层）,近地铁/新上/随时看房,5600元/月
整租·莘浜路157弄 2室1厅 南,/zufang/SH2321679093307293696.html,闵行-莘庄-莘浜路157弄,49㎡,南,2室1厅1卫,低楼层（6层）,近地铁/新上/随时看房,4550元/月
整租·德州二村 2室0厅 南,/zufang/SH2331777232499900416.html,浦东-世博-德州二村,52㎡,南,2室0厅1卫,低楼层（6层）,近地铁/精装/新上/随时看房,6200元/月
整租·莘松三村 1室1厅 南,/zufang/SH2331142758598705152.html,闵行-莘庄-莘松三村,35㎡,南,1室1厅2卫,中楼层（5层）,精装/双卫生间/新上/随时看房,4300元/月
